"ZIPCODE","STATE","YEAR","Latitude","Longitude","A00100","A07260"
49718,"MI",2009,45.69,-84.79,10786,12
49719,"MI",2009,45.99,-84.36,33815,53
49720,"MI",2009,45.31,-85.25,234390,322
49721,"MI",2009,45.64,-84.46,245789,373
49724,"MI",2009,46.36,-84.43,22060,67
49725,"MI",2009,45.99,-83.9,13829,18
49726,"MI",2009,46,-83.67,20621,49
49727,"MI",2009,45.15,-85.13,147002,143
49728,"MI",2009,46.36,-85.03,4271,0
49729,"MI",2009,45.16,-85.24,25919,27
49730,"MI",2009,45.06,-84.85,35881,63
49733,"MI",2009,44.78,-84.73,26256,38
49735,"MI",2009,45.02,-84.67,349530,438
49736,"MI",2009,46.08,-84.09,8429,14
49738,"MI",2009,44.65,-84.7,156208,229
49740,"MI",2009,45.43,-84.98,225958,183
49743,"MI",2009,45.3,-83.9,10924,18
49744,"MI",2009,45,-83.66,14199,26
49745,"MI",2009,46.03,-84.44,16570,35
49746,"MI",2009,45.06,-83.9,50605,79
49747,"MI",2009,44.8,-83.59,29998,51
49749,"MI",2009,45.41,-84.61,87877,108
49751,"MI",2009,44.98,-84.46,32571,53
49752,"MI",2009,46.26,-84.51,8825,19
49753,"MI",2009,45.08,-83.73,33043,56
49755,"MI",2009,45.63,-84.76,31953,44
